NODE,Total Profit ($)
NEVP_BCTAP230-APND,0.0
TEPC_MCKINLEY345_TEPC-APND,0.0
NEVP_CRYSTAL500-APND,0.0
NEVP_CRYSTAL500_NEVP-APND,0.0
PNM_LUNA345_EPE-APND,0.0
EPE_GREENLEE_EPE-APND,0.0
SRP_PINPKSRP230_SRP-APND,0.0
IPCO_WALLAWALLA-APND,0.0
PSEI_SCL.SYSTEM-APND,0.0
PSEI_PSE.COLSTRIP-APND,0.0
PSEI_MINTFARM-APND,0.0
PSEI_MIDC_PSEI_PGE-APND,0.0
PSEI_MIDC_PSEI-APND,0.0
PSEI_MIDCREMOTE-APND,0.0
PSEI_MIDC.AV-APND,0.0
PSEI_MALIN-APND,0.0
PSEI_KFALLSGEN-APND,0.0
IPCO_TENDOY-APND,0.0
LADWP_APEX_NEVP-APND,0.0
IPCO_SCLLAGRANDEIPC-APND,0.0
IPCO_PTSN-APND,0.0
IPCO_M345-APND,0.0
IPCO_LOLO-APND,0.0
IPCO_LAGRANDE-APND,0.0
IPCO_JBSN-APND,0.0
IPCO_HURR-APND,0.0
IPCO_HMWY-APND,0.0
IPCO_GSHN-APND,0.0
PSEI_TPWR.STAR-APND,0.0
LADWP_CRYSTAL500-APND,0.0
IPCO_BORA-APND,0.0
PGE_PGE.COLSTRIP-APND,0.0
PGE_GRIZZLY-APND,0.0
PGE_JOHNDAY-APND,0.0
PGE_KFALLSGEN-APND,0.0
PGE_MALIN-APND,0.0
PGE_MIDC.AV-APND,0.0
PGE_MIDCREMOTE-APND,0.0
PGE_MIDC_PACW_PGE-APND,0.0
PGE_MIDC_PSEI_PGE-APND,0.0
PGE_PACW.PGE-APND,0.0
PGE_ROUNDBUTTE-APND,0.0
LADWP_GON.IPP-APND,0.0
PGE_SCLBPATPGE-APND,0.0
LADWP_NOB.LDWP-APND,0.0
LADWP_NAVAJO-APND,0.0
LADWP_MRKTPLACE.LDWP-APND,0.0
LADWP_MPAC-APND,0.0
LADWP_MEAD230.LDWP-APND,0.0
LADWP_MCCULLOUG230-APND,0.0
LADWP_MCC230.LDWP-APND,0.0
LADWP_IPP.ACES-APND,0.0
IPCO_BPAT.PSEI-APND,0.0
PSEI_JOHNDAY-APND,0.0
SRP_PINPKAPS230_SRP-APND,0.0
EPE_OSOGRANDE-APND,0.0
TEPC_WINCHESTR345-APND,0.0
SCL_SCLLAGRANDEIPC-APND,0.0
SRP_LIBERTY230_WALC-APND,0.0
SRP_PALOVERDE500-APND,0.0
SRP_PANDA230-APND,0.0
EPE_WM345_EPE-APND,0.0
EPE_SPRINGER_EPE-APND,0.0
EPE_PICACHO115_EPE-APND,0.0
EPE_PALOVERDE500_EPE-APND,0.0
EPE_OROGRANDE115_EPE-APND,0.0
NWMT_YTP-APND,0.0
EPE_MACHOSPRNG345-APND,0.0
EPE_LUNA345_EPE-APND,0.0
EPE_LASCRCS115_EPE-APND,0.0
EPE_HIDALGO345_EPE-APND,0.0
PGE_COBH-APND,0.0
EPE_AMRAD115_EPE-APND,0.0
EPE_AIRPORT115_EPE-APND,0.0
EPE_AFTON345_EPE-APND,0.0
SRP_PINLWST500_TEPC-APND,0.0
SRP_KYRENE230-APND,0.0
SRP_KNOX230-APND,0.0
PSEI_COBH-APND,0.0
SCL_BPAT.SCL-APND,0.0
PSEI_CAPTAINJACK-APND,0.0
PSEI_BPAT.PSEI-APND,0.0
PSEI_BCUS.BORDER-APND,0.0
PGE_BPAT.PSEI-APND,0.0
PGE_BPAT.PGE-APND,0.0
SRP_CHOLLA500_SRP-APND,0.0
SRP_COOLIDGE_WALC-APND,0.0
SRP_CORONAD500_TEPC-APND,0.0
SCL_BOUNDARY-APND,0.0
SRP_COVEFORT-APND,0.0
SRP_JOJOBA500-APND,0.0
SRP_DESERTBASIN-APND,0.0
SRP_DUKE500_WALC-APND,0.0
SRP_FOURCORNE345_AZPS-APND,0.0
SRP_FOURCORNE500_AZPS-APND,0.0
SCL_MAINCANALGEN-APND,0.0
SCL_MIDC.AV-APND,0.0
SRP_GILARIVER500-APND,0.0
SRP_GILARVR500_TEPC-APND,0.0
SRP_HAYDEN115_WALC-APND,0.0
TEPC_WESTWING500_TEPC-APND,0.0
NWMT_BPAT.NWMT-APND,0.0
BPAT_BC.US.BORDER-APND,0.0
BPAT_CAPTAINJACK-APND,0.0
BPAT_BPAT.SCL-APND,0.0
BPAT_BPAT.PSEI-APND,0.0
BPAT_BPAT.PGE-APND,0.0
BPAT_BPAT.PACW-APND,0.0
BPAT_BPAT.NWMT-APND,0.0
BPAT_BPAT.AVRN-APND,0.0
BPAT_BOUNDARY-APND,0.0
BPAT_AVA.BPAT-APND,0.0
BCHA_BCUS.BORDER-APND,0.0
BCHA_BC.US.BORDER-APND,0.0
BANC_WESTLEY-APND,0.0
BANC_CAPTAINJACK-APND,0.0
AZPS_WESTWING500_WALC-APND,0.0
AZPS_WESTWING500_TEPC-APND,0.0
AZPS_WESTWING500_SRP-APND,0.0
AZPS_WESTWING230_WALC-APND,0.0
AZPS_WESTWING230_SRP-APND,0.0
AZPS_WALC.SYS-APND,0.0
AZPS_TESTTRACK230-APND,0.0
AZPS_SWAZSYS-APND,0.0
AZPS_SUNVALLEY230-APND,0.0
AZPS_SUNDANCE-APND,0.0
AZPS_SUGARLOAF500-APND,0.0
BPAT_BPAT.TPU-APND,0.0
BPAT_COBH-APND,0.0
WALC_VAIL345-APND,0.0
BPAT_COYSPR2-APND,0.0
WALC_WALC.SYS_TEP-APND,0.0
WALC_WESTWING230_WALC-APND,0.0
WALC_WESTWING500_WALC-APND,0.0
WALC_WINCHESTR345-APND,0.0
WALC_WWNG230SRP_WALC-APND,0.0
WALC_WWNG500SRP_WALC-APND,0.0
BPAT_POPD-APND,0.0
BPAT_NOB.LDWP-APND,0.0
BPAT_MSS_WASCO-APND,0.0
BPAT_MSS_KLICK-APND,0.0
BPAT_MSS_COLUMB-APND,0.0
BPAT_MINTFARM-APND,0.0
BPAT_MIDCREMOTE-APND,0.0
BPAT_MCNARY-APND,0.0
BPAT_MALIN230-APND,0.0
BPAT_MALIN-APND,0.0
BPAT_LAGRANDE-APND,0.0
BPAT_KFALLSGEN.AVRN-APND,0.0
BPAT_KFALLSGEN-APND,0.0
BPAT_JOHNDAY-APND,0.0
BPAT_HILLTOP345-APND,0.0
BPAT_GRIZZLY-APND,0.0
BPAT_GARRISON-APND,0.0
AZPS_SANTAROSA230-APND,0.0
AZPS_SAGUARO500-APND,0.0
AZPS_SAGUARO115-APND,0.0
AZPS_SADLBROKRNCH-APND,0.0
AZPS_FOURCORNE345_AZPS-APND,0.0
AZPS_DESERTBASIN-APND,0.0
AZPS_CHOLLA500_SRP-APND,0.0
AZPS_BUCKEYE230-APND,0.0
AVRN_MSS_WASCO-APND,0.0
AVRN_MSS_KLICK-APND,0.0
AVRN_MSS_COLUMB-APND,0.0
AVRN_KFALLSGENAVRN-APND,0.0
AVRN_KFALLSGEN.AVRN-APND,0.0
AVRN_BPAT.AVRN-APND,0.0
AVRN_AVA.AVRN-APND,0.0
AVA_WALLAWALLA-APND,0.0
AVA_POPD-APND,0.0
AVA_MIDCREMOTE-APND,0.0
AVA_MIDC.AV-APND,0.0
AVA_MAINCANALGEN-APND,0.0
AVA_LOLO-APND,0.0
AVA_DRYCREEK-APND,0.0
AVA_COYSPR2-APND,0.0
AVA_AVAT.NWMT-APND,0.0
AVA_AVA.COLSTRIP-APND,0.0
AVA_AVA.BPAT-APND,0.0
AVA_AVA.AVRN-APND,0.0
AZPS_FOURCORNE345_PNM-APND,0.0
AZPS_FOURCORNE345_TEPC-APND,0.0
AZPS_FOURCORNE500_AZPS-APND,0.0
AZPS_PALOVERDE500-APND,0.0
AZPS_RUDD230-APND,0.0
AZPS_RACEWAY230-APND,0.0
